annotation_unit,FDI,normalized_retention_AUC,full_nodes,interpretation
disease-supported targets,0.3523798169256802,0.6476201830743198,139,unique-node retention
provisional compounds,0.45101535776433455,0.5489846422356655,2657,unique-node retention
