omitted_formula_id,omitted_formula_name_en,n_remaining,spearman_rho,spearman_p,hc3_multiherb_coefficient,hc3_multiherb_se
F000,SQRCD,14,-0.9868131868131869,7.379504109330886e-11,-0.21491847015677734,0.017407050156929442
F001,Si-Wu-Tang,14,-0.9868131868131869,7.379504109330886e-11,-0.2154009543360123,0.018520827922516903
F002,Suan-Zao-Ren-Tang,14,-0.9824175824175824,4.1071830416421516e-10,-0.2185409918148397,0.019740965477353843
F003,Gui-Zhi-Tang,14,-0.9824175824175824,4.1071830416421516e-10,-0.21530344715043132,0.0166209033217018
F004,Wen-Dan-Tang,14,-0.9824175824175824,4.1071830416421516e-10,-0.2148324549916984,0.01600184955137937
F005,Shen-Ling-Bai-Zhu-San,14,-0.9868131868131869,7.379504109330886e-11,-0.22866862228758944,0.02046785811951683
F007,Xue-Fu-Zhu-Yu-Tang,14,-0.9824175824175824,4.1071830416421516e-10,-0.2174317004234307,0.01873376164375115
F009,Xiao-Chai-Hu-Tang,14,-0.9824175824175824,4.1071830416421516e-10,-0.21536229212334973,0.015917925053129188
F010,Bu-Zhong-Yi-Qi-Tang,14,-0.9824175824175824,4.1071830416421516e-10,-0.2140069778938284,0.015131226990590668
F012,Du-Huo-Ji-Sheng-Tang,14,-0.9868131868131869,7.379504109330886e-11,-0.21415272209089176,0.011512889257956852
F013,Liu-Wei-Di-Huang-Wan,14,-0.9868131868131869,7.379504109330886e-11,-0.2163808224977143,0.029327009937203528
F015,Bao-He-Wan,14,-0.9868131868131869,7.379504109330886e-11,-0.20782879717916392,0.014870603653448748
F018,Yi-Guan-Jian,14,-0.9868131868131869,7.379504109330886e-11,-0.21556921161977993,0.01637012129447052
F019,Tian-Wang-Bu-Xin-Dan,14,-0.9824175824175824,4.1071830416421516e-10,-0.2147617723204716,0.016850484279821533
F020,Yang-Xin-Tang,14,-0.9868131868131869,7.379504109330886e-11,-0.2123935385494189,0.016130714434992657
